primary,atm,nshower,ze,elow,ehigh,index,reuse,seed0,seed1,seed2,seed3,epoch,wobble_dir,wobble_angle,noise_level,simtype
gamma,61,1,10,0.01,10.00,2.000,00001,11110,11111,11112,11113,V6,N,0.5000000000,200,point
gamma,61,1,10,0.01,10.00,2.000,00001,11110,11111,11112,11113,V6,W,0.5000000000,200,point
